run_id,experiment_id,metrics.test_accuracy,metrics.val_accuracy,params.dataset_name,params.runtime_model_tuning,params.series_length,params.runtime_actual_seconds,params.runtime_userdefined_seconds,params.num_channels,params.runtime_best_model_training,params.num_classes,params.num_instances,params.num_epochs,params.num_models_estimated
9d032af1ad6145189219e7fe6f85030b,12,0.4054054021835327,0.4375,HandMovementDirection,280,400,333,180,10,53,4,160,30,7
ad147762650b45d8a58b8fc3759312bb,12,0.9800000190734863,1.0,SmoothSubspace,47,15,50,180,1,3,3,150,30,8
57e85a568c8b4f538c9af80155fbb271,12,0.3567567467689514,0.35772356390953064,Strawberry,121,235,148,180,1,27,2,613,30,7
f287019ffdaa4e33b74ece34853b2a39,12,0.9888888597488403,1.0,PowerCons,106,144,108,180,1,2,2,180,30,7
ed22336edd1442f294159dc47ce8be51,12,0.18831168115139008,0.5874999761581421,MiddlePhalanxOutlineAgeGroup,60,80,85,180,1,25,3,400,30,8
f729fd17bcf7445f86f70004e3a0bdfe,12,0.7242424488067627,0.7170596122741699,FordA,120,500,677,180,1,557,2,3601,30,4
045e096d1f5447339bff9ed2ba95ca26,12,0.7160493731498718,0.8804945349693298,FordB,326,500,1691,180,1,1365,2,3636,30,4
581d3dbb7bac4163b01e33b01ca560a8,12,0.06976744532585144,0.06983239948749542,ALFA,82,40,227,180,12,145,2,2792,30,7
4024f6fd8adf422ebdbeb758c748e2db,12,0.9387755393981934,0.9076923131942749,U-Boot,204,180,250,180,16,46,5,975,30,8
f6bbd7bf136342f0a1631a99506e80ab,12,0.41999998688697815,0.5,FingerMovements,78,50,94,180,28,16,2,316,30,8
98a4c769d9464fe89f53e3a8c6faf8c1,12,0.32608696818351746,0.3571428656578064,Epilepsy,200,206,207,180,3,7,4,137,30,7
cfc73af98a454cfeb77ffa9589b72aa2,12,0.33552631735801697,0.35483869910240173,RacketSports,76,30,79,180,6,3,4,151,30,8
409357801471430ea325af0dc6d8f6ca,12,0.36000001430511475,0.30000001192092896,ECG200,95,96,97,180,1,2,2,100,30,8
cf4b5505f3d8484d988fa0f491817d13,12,0.23333333432674408,0.25,Car,263,577,301,180,1,38,4,60,30,6
